concept_id,condition,mean_continuation_loss,extra_input_tokens,n_generations
wasta_001,prompt:neutral,1.9439809799194336,0,5
wasta_001,prompt:direct_en,1.9562402248382569,8,5
wasta_001,prompt:persona_en,1.891915249824524,18,5
wasta_001,steering@+0.20,1.54442355632782,0,5
muruah_001,prompt:neutral,1.9439809799194336,0,5
muruah_001,prompt:direct_en,2.3419930219650267,8,5
muruah_001,prompt:persona_en,2.093270707130432,18,5
muruah_001,steering@+0.20,2.206729292869568,0,5
diyafa_001,prompt:neutral,1.9439809799194336,0,5
diyafa_001,prompt:direct_en,2.2746315002441406,9,5
diyafa_001,prompt:persona_en,1.8504158020019532,19,5
diyafa_001,steering@+0.20,1.875038981437683,0,5
karam_001,prompt:neutral,1.9439809799194336,0,5
karam_001,prompt:direct_en,2.060357403755188,8,5
karam_001,prompt:persona_en,1.8552734136581421,18,5
karam_001,steering@+0.20,2.2187028884887696,0,5
sharaf_001,prompt:neutral,1.9439809799194336,0,5
sharaf_001,prompt:direct_en,2.112771153450012,8,5
sharaf_001,prompt:persona_en,1.84293692111969,18,5
sharaf_001,steering@+0.20,2.155501389503479,0,5
sabr_001,prompt:neutral,1.9439809799194336,0,5
sabr_001,prompt:direct_en,2.112771153450012,9,5
sabr_001,prompt:persona_en,1.872412657737732,19,5
sabr_001,steering@+0.20,1.9832815885543824,0,5
silat_rahim_001,prompt:neutral,1.9439809799194336,0,5
silat_rahim_001,prompt:direct_en,2.112771153450012,10,5
silat_rahim_001,prompt:persona_en,1.9196094036102296,20,5
silat_rahim_001,steering@+0.20,2.156185030937195,0,5
jiwar_001,prompt:neutral,1.9439809799194336,0,5
jiwar_001,prompt:direct_en,2.075214958190918,9,5
jiwar_001,prompt:persona_en,1.9235591888427734,19,5
jiwar_001,steering@+0.20,2.2023826122283934,0,5
shura_001,prompt:neutral,1.9439809799194336,0,5
shura_001,prompt:direct_en,2.1584043741226195,8,5
shura_001,prompt:persona_en,2.039333963394165,18,5
shura_001,steering@+0.20,1.9797636270523071,0,5
majlis_001,prompt:neutral,1.9439809799194336,0,5
majlis_001,prompt:direct_en,2.1548287630081178,9,5
majlis_001,prompt:persona_en,1.852963352203369,19,5
majlis_001,steering@+0.20,1.9980320930480957,0,5
fazaa_001,prompt:neutral,1.9439809799194336,0,5
fazaa_001,prompt:direct_en,2.169807028770447,10,5
fazaa_001,prompt:persona_en,2.042355465888977,20,5
fazaa_001,steering@+0.20,2.155501389503479,0,5
hayaa_001,prompt:neutral,1.9439809799194336,0,5
hayaa_001,prompt:direct_en,2.060357403755188,10,5
hayaa_001,prompt:persona_en,1.973653507232666,20,5
hayaa_001,steering@+0.20,1.9750516891479493,0,5
