concept_id,condition,mean_continuation_loss,extra_input_tokens,n_generations
wasta_001,prompt:neutral,1.9006365537643433,0,5
wasta_001,prompt:direct_en,1.899673080444336,8,5
wasta_001,prompt:persona_en,2.175188994407654,18,5
wasta_001,steering@+0.20,2.4698655366897584,0,5
muruah_001,prompt:neutral,1.9006365537643433,0,5
muruah_001,prompt:direct_en,1.7536511182785035,8,5
muruah_001,prompt:persona_en,2.2384258031845095,18,5
muruah_001,steering@+0.20,2.1009342193603517,0,5
diyafa_001,prompt:neutral,1.9006365537643433,0,5
diyafa_001,prompt:direct_en,2.0455175399780274,9,5
diyafa_001,prompt:persona_en,2.1244690656661986,19,5
diyafa_001,steering@+0.20,5.572911262512207,0,5
karam_001,prompt:neutral,1.9006365537643433,0,5
karam_001,prompt:direct_en,2.050437903404236,8,5
karam_001,prompt:persona_en,1.9186377763748168,18,5
karam_001,steering@+0.20,1.8242647171020507,0,5
sharaf_001,prompt:neutral,1.9006365537643433,0,5
sharaf_001,prompt:direct_en,2.2255322217941282,8,5
sharaf_001,prompt:persona_en,2.1974363327026367,18,5
sharaf_001,steering@+0.20,1.332871675491333,0,5
sabr_001,prompt:neutral,1.9006365537643433,0,5
sabr_001,prompt:direct_en,2.1150462150573732,9,5
sabr_001,prompt:persona_en,2.1410942316055297,19,5
sabr_001,steering@+0.20,2.099002647399902,0,5
silat_rahim_001,prompt:neutral,1.9006365537643433,0,5
silat_rahim_001,prompt:direct_en,2.2116220712661745,10,5
silat_rahim_001,prompt:persona_en,3.0209485054016114,20,5
silat_rahim_001,steering@+0.20,2.312525224685669,0,5
jiwar_001,prompt:neutral,1.9006365537643433,0,5
jiwar_001,prompt:direct_en,2.1882810831069945,9,5
jiwar_001,prompt:persona_en,2.232105016708374,19,5
jiwar_001,steering@+0.20,1.9383604764938354,0,5
shura_001,prompt:neutral,1.9006365537643433,0,5
shura_001,prompt:direct_en,1.7885015249252318,8,5
shura_001,prompt:persona_en,2.1537044048309326,18,5
shura_001,steering@+0.20,1.5831149101257325,0,5
majlis_001,prompt:neutral,1.9006365537643433,0,5
majlis_001,prompt:direct_en,1.8438459634780884,9,5
majlis_001,prompt:persona_en,2.303033971786499,19,5
majlis_001,steering@+0.20,1.7561811923980712,0,5
fazaa_001,prompt:neutral,1.9006365537643433,0,5
fazaa_001,prompt:direct_en,2.1693366289138796,10,5
fazaa_001,prompt:persona_en,2.420784831047058,20,5
fazaa_001,steering@+0.20,1.9090715885162353,0,5
hayaa_001,prompt:neutral,1.9006365537643433,0,5
hayaa_001,prompt:direct_en,2.0941335439682005,10,5
hayaa_001,prompt:persona_en,2.3554205894470215,20,5
hayaa_001,steering@+0.20,2.305765247344971,0,5
