concept_id,condition,mean_continuation_loss,extra_input_tokens,n_generations
wasta_001,prompt:neutral,2.133228397369385,0,5
wasta_001,prompt:direct_en,2.095518136024475,8,5
wasta_001,prompt:persona_en,2.2802913665771483,18,5
wasta_001,steering@+0.20,1.7614480257034302,0,5
muruah_001,prompt:neutral,2.133228397369385,0,5
muruah_001,prompt:direct_en,2.3908048629760743,8,5
muruah_001,prompt:persona_en,1.9814786434173584,18,5
muruah_001,steering@+0.20,1.9748446941375732,0,5
diyafa_001,prompt:neutral,2.133228397369385,0,5
diyafa_001,prompt:direct_en,2.149606394767761,9,5
diyafa_001,prompt:persona_en,1.9420637845993043,19,5
diyafa_001,steering@+0.20,1.9564363002777099,0,5
karam_001,prompt:neutral,2.133228397369385,0,5
karam_001,prompt:direct_en,2.1463140487670898,8,5
karam_001,prompt:persona_en,1.8586718082427978,18,5
karam_001,steering@+0.20,2.0377523422241213,0,5
sharaf_001,prompt:neutral,2.133228397369385,0,5
sharaf_001,prompt:direct_en,2.312568259239197,8,5
sharaf_001,prompt:persona_en,2.186007928848267,18,5
sharaf_001,steering@+0.20,1.8951825618743896,0,5
sabr_001,prompt:neutral,2.133228397369385,0,5
sabr_001,prompt:direct_en,2.263266921043396,9,5
sabr_001,prompt:persona_en,2.062564826011658,19,5
sabr_001,steering@+0.20,1.9192518711090087,0,5
silat_rahim_001,prompt:neutral,2.133228397369385,0,5
silat_rahim_001,prompt:direct_en,2.228993535041809,10,5
silat_rahim_001,prompt:persona_en,2.246441864967346,20,5
silat_rahim_001,steering@+0.20,1.9713554620742797,0,5
jiwar_001,prompt:neutral,2.133228397369385,0,5
jiwar_001,prompt:direct_en,2.136966919898987,9,5
jiwar_001,prompt:persona_en,2.047173285484314,19,5
jiwar_001,steering@+0.20,2.1240204572677612,0,5
shura_001,prompt:neutral,2.133228397369385,0,5
shura_001,prompt:direct_en,1.9413404703140258,8,5
shura_001,prompt:persona_en,2.0416844367980955,18,5
shura_001,steering@+0.20,2.1865307092666626,0,5
majlis_001,prompt:neutral,2.133228397369385,0,5
majlis_001,prompt:direct_en,2.083588123321533,9,5
majlis_001,prompt:persona_en,2.0777902603149414,19,5
majlis_001,steering@+0.20,1.80918231010437,0,5
fazaa_001,prompt:neutral,2.133228397369385,0,5
fazaa_001,prompt:direct_en,2.157317638397217,10,5
fazaa_001,prompt:persona_en,2.079221820831299,20,5
fazaa_001,steering@+0.20,2.183381748199463,0,5
hayaa_001,prompt:neutral,2.133228397369385,0,5
hayaa_001,prompt:direct_en,2.1628254413604737,10,5
hayaa_001,prompt:persona_en,2.1753125905990602,20,5
hayaa_001,steering@+0.20,2.190062379837036,0,5
