concept_id,layer,aligned_cosine,mean_mismatched_cosine,separation,n_arabic,n_english
diyafa_001,3,0.285766,-0.276246,0.562012,6,6
karam_001,3,0.934048,0.749918,0.18413,6,6
majlis_001,3,0.897449,0.720874,0.176575,6,6
sharaf_001,3,0.917744,0.747933,0.169811,6,6
fazaa_001,3,0.892114,0.729471,0.162643,6,6
silat_rahim_001,3,0.826926,0.669073,0.157853,6,6
hayaa_001,3,0.839849,0.690551,0.149298,6,6
sabr_001,3,0.826748,0.686536,0.140212,6,6
shura_001,3,0.792071,0.741472,0.050599,6,6
muruah_001,3,0.186345,0.157152,0.029193,6,6
jiwar_001,3,-0.485202,-0.412345,-0.072857,6,6
wasta_001,3,-0.816158,-0.717089,-0.099069,6,6
